OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID
148,,Atlanta University Center,Neighborhood,,,,,,331.57,0.52,Atlanta University,T,,,GIS,2018-05-15T13:24:10.000Z,{D6CAF694-B83F-4CB9-B351-CA3E3145D0C7}
149,,Hunter Hills,Neighborhood,,,,,,322.58,0.5,Hunter Hills,K,,,GIS,2018-05-15T13:24:10.000Z,{8A4F3C84-CCC3-478C-82BA-7E4174935428}
150,,Bankhead,Neighborhood,,,,,,416.09,0.65,Bankhead,K,,,GIS,2018-05-15T13:24:10.000Z,{70303C29-B16F-4E33-9FEC-A33B2244D3AB}
151,,English Avenue,Neighborhood,,,,,,519,0.81,English Avenue,L,,,GIS,2018-05-15T13:24:10.000Z,{9B6F9DF9-B38E-46FB-993B-4D1DA42AC049}
152,,Adair Park,Neighborhood,,,,,,289.28,0.45,Adair Park,V,,,GIS,2018-05-15T13:24:10.000Z,{D8FD5CB2-4D90-4EEB-A33A-B52E6D66E345}
153,,Mechanicsville,Neighborhood,,,,,,458.04,0.72,Mechanicsville,V,,,GIS,2018-05-15T13:24:10.000Z,{A855553A-F773-43F8-B387-2141FA16789D}
154,,Capitol Gateway,Neighborhood,,,,,,84.01,0.13,Capitol Homes,V,,,GIS,2018-05-15T13:24:10.000Z,{3A97A58B-6747-4484-9522-91E111459365}
155,,Grant Park,Neighborhood,,,,,,1108.24,1.73,Grant Park,W,,,GIS,2018-05-15T13:24:10.000Z,{7FE35433-34E9-4BC6-89E4-040064B1C526}
156,,Hammond Park,Neighborhood,,,,,,389.94,0.61,Hammond Park,X,,,GIS,2018-05-15T13:24:10.000Z,{6B2192E3-7F7E-4944-A24B-70E9C23B7035}
157,,Capitol View,Neighborhood,,,,,,368.52,0.58,Capitol View,X,,,GIS,2018-05-15T13:24:10.000Z,{D5304CF1-D578-45C5-86AB-49E143BBEB2F}
158,,High Point,Neighborhood,,,,,,65.21,0.1,High Point,Y,,,GIS,2018-05-15T13:24:10.000Z,{261B198D-A526-4532-95B7-98C9646C8F0E}
159,,Joyland,Neighborhood,,,,,,86.37,0.13,Joyland,Y,,,GIS,2018-05-15T13:24:10.000Z,{516A024F-6B8A-4EB5-B98D-250FBFF4A945}
160,,Betmar LaVilla,Neighborhood,,,,,,72.47,0.11,Betmar La Villa,Y,,,GIS,2018-05-15T13:24:10.000Z,{B1E012FF-310C-40FE-A1EE-684FEA37C37A}
161,,The Villages at Carver,Neighborhood,,,,,,108.05,0.17,Carver Homes,Y,,,GIS,2018-05-15T13:24:10.000Z,{1C318454-84A7-4344-BC90-BC8E43C9CA27}
163,,Fort McPherson,Neighborhood,,,,,,515.65,0.81,Fort McPherson,S,,,GIS,2018-05-15T13:24:10.000Z,{599C9196-A55D-4D03-A77F-55C24D008CCC}
164,,Venetian Hills,Neighborhood,,,,,,615.88,0.96,Venetian Hills,S,,,GIS,2018-05-15T13:24:10.000Z,{7741E693-091A-4BA3-A44C-881B49ED3C50}
165,,Pomona Park,Neighborhood,,,,,,46.73,0.07,Pamond Park,R,,,GIS,2018-05-15T13:24:10.000Z,{D4354C45-AC27-41E6-A3F3-322A84940530}
166,,Fort Valley,Neighborhood,,,,,,23.11,0.04,Fort Valley,R,,,GIS,2018-05-15T13:24:10.000Z,{8FE5DE3F-CB5E-44F1-9246-952DD08BB6CE}
167,,Greenbriar,Neighborhood,,,,,,822.09,1.28,Greenbriar,R,,,GIS,2018-05-15T13:24:10.000Z,{03870B67-64B1-4A40-ADFB-85C5A5D8211B}
168,,Laurens Valley,Neighborhood,,,,,,124.57,0.19,Laurens Valley,R,,,GIS,2018-05-15T13:24:10.000Z,{8B6E4A13-C490-46C7-BC50-A020A0D85BF2}
169,,Heritage Valley,Neighborhood,,,,,,243.23,0.38,Heritage Valley,P,,,GIS,2018-05-15T13:24:10.000Z,{111063FC-582A-4C1D-8E3B-0D4B026AE98E}
170,,Ben Hill Acres,Neighborhood,,,,,,94.39,0.15,Ben Hill Acres,P,,,GIS,2018-05-15T13:24:10.000Z,{8F9411A4-3EAC-4F1B-996D-299BAFED6293}
171,,Rue Royal,Neighborhood,,,,,,22.54,0.04,Rue Royal,P,,,GIS,2018-05-15T13:24:10.000Z,{66081CF1-4142-420D-BCDE-9E0D08E4375B}
172,,Ben Hill Pines,Neighborhood,,,,,,45.46,0.07,Ben Hill Pines,P,,,GIS,2018-05-15T13:24:10.000Z,{71BB65A0-8A33-417A-991D-89C28A64D475}
173,,Ben Hill Forest,Neighborhood,,,,,,95.8,0.15,Ben Hill Forest,P,,,GIS,2018-05-15T13:24:10.000Z,{3C878933-0F32-4151-891B-28D6073FE50B}
