Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Busy Bee Cafe,33.75457669375526,-84.41402351728894,Southern / Soul Food Restaurant
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Murrell's Cafe,33.7540046,-84.4094726,Buffet
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Mr. Everything,33.75473934775971,-84.41613145969792,Sandwich Place
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Johnny M's Pizza Bistro,33.75459880227053,-84.41715745793665,Pizza Place
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Spelman College Museum of Fine Art,33.74605973138509,-84.41213725433214,Art Museum
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Chick-fil-A,33.755,-84.415797,Food Service
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,GME Sports Lounge and Grill,33.75496691836046,-84.41701085413338,Sports Bar
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Subway,33.74548160429943,-84.41259109317382,Sandwich Place
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Papa John's Pizza,33.74586645027994,-84.41428384593459,Pizza Place
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,KFC,33.75378263396147,-84.4178010214755,Fried Chicken Joint
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Jazzman's Cafe & Bakery,33.74585437169477,-84.41436613425061,Café
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Btw Wings,33.75506,-84.413055,Wings Joint
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Joseph E Lowery Blvd & Beckwith St,33.752334,-84.417537,Intersection
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,XFINITY Store by Comcast,33.74705555413628,-84.40820574760437,Business Service
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Walmart,33.755673155030024,-84.41390350788798,Big Box Store
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Spelman College Bookstore,33.74545010841649,-84.41191397841457,Bookstore
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,John Hope Community Center,33.747533000000004,-84.4071,Community Center
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Gme Studios,33.75493231288456,-84.41702805360026,Music Venue
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Cleopas R. Johnson Park,33.74897605201035,-84.40602480289232,Park
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Crabhouse,33.754961,-84.417023,American Restaurant
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Atlanta Wings,33.75446305835089,-84.41772049696092,Wings Joint
"Atlanta University Center, Atlanta, GA",33.750920000000065,-84.41233999999997,Martin Luther King Jr Dr & Joseph E Lowery Blvd,33.754717,-84.417585,Intersection
"Hunter Hills, Atlanta, GA",33.75848000000008,-84.43128999999999,Washington Park Tennis Center,33.757363202215636,-84.42455380823512,Tennis Court
"Hunter Hills, Atlanta, GA",33.75848000000008,-84.43128999999999,Atlanta BeltLine Corridor at Lena St,33.756440999999995,-84.424909,Trail
"Hunter Hills, Atlanta, GA",33.75848000000008,-84.43128999999999,Margrate's cafe,33.75570849478018,-84.43027496337889,Breakfast Spot
"Hunter Hills, Atlanta, GA",33.75848000000008,-84.43128999999999,"Pick ""N"" Pay Supermarket",33.763296000000004,-84.433373,Convenience Store
"Hunter Hills, Atlanta, GA",33.75848000000008,-84.43128999999999,Rainbow Liquor Store,33.763821,-84.433134,Liquor Store
"Hunter Hills, Atlanta, GA",33.75848000000008,-84.43128999999999,Everything About H.E.R. Hair,33.75755,-84.42464,Salon / Barbershop
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Chevron,33.763724592278116,-84.42168521914954,Gas Station
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Chevron,33.77111,-84.433464,Gas Station
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Maddox Park,33.770558,-84.426732,Park
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Henerys Pack a Shack,33.763809,-84.425661,Convenience Store
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Proctor Creek Greenway at Donald Lee Hollowell Pkwy,33.772006,-84.429569,Park
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Super Frosty,33.77171281562353,-84.43122920251403,Ice Cream Shop
"Bankhead, Atlanta, GA",33.76827000000003,-84.42641999999995,Swift Painters,33.770273,-84.419318,Construction & Landscaping
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,4 Rivers Smokehouse,33.77477386612859,-84.40658194004251,BBQ Joint
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Atlanta Contemporary Art Center,33.772975590347095,-84.40519158041222,Art Gallery
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Marquette Club,33.7630563515035,-84.4160086081655,Gay Bar
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Universal Fitness,33.77418360991243,-84.41280690112129,Gym
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Stilettos,33.77411564122528,-84.40600916830006,Strip Club
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,595 North Event Center,33.770202285898485,-84.40687449110054,Nightclub
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Trap Music Museum,33.771803999999996,-84.408692,History Museum
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Family Dollar,33.772682,-84.41492099999999,Discount Store
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,K&K Soulfood,33.7731096565051,-84.41654462064373,Southern / Soul Food Restaurant
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Lighting and Production Equipment,33.770955,-84.40884100000001,Electronics Store
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Shell,33.77289682035528,-84.41684722422474,Gas Station
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Club 595,33.77020056624887,-84.4069490867446,Nightclub
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Chevron,33.769712630817146,-84.40503389494076,Gas Station
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Bright Screen Studio,33.7696772,-84.40565289999999,Film Studio
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Sweetooth Market Place,33.763315999999996,-84.41018000000001,Dessert Shop
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Body By Kariim Fitness,33.773250093549564,-84.41085787662222,Gym / Fitness Center
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Atlanta Printmakers Studio,33.773118982919016,-84.40903102370653,Arts & Crafts Store
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,North Ave & Northside Dr,33.770012,-84.40454,Intersection
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Kneads,33.7742,-84.41308736801147,Spa
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,A Step Above: New and Used Furniture.,33.772884000000005,-84.41615,Furniture / Home Store
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,Ghetto Greens Golf Course,33.76141310917145,-84.40964148321397,Golf Course
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,us deli,33.77296447753906,-84.41669464111328,Deli / Bodega
"English Avenue, Atlanta, GA",33.76821000000007,-84.41050999999999,AtlFalcoholics Tailgate-Yellow Lot,33.764930725097656,-84.40283966064453,Athletics & Sports
"Adair Park, Atlanta, GA",33.72997000000004,-84.41043999999994,Adair Park One,33.73052473645102,-84.41283731478808,Park
"Adair Park, Atlanta, GA",33.72997000000004,-84.41043999999994,Bonnie Brae Park,33.73051441150315,-84.41076993942261,Park
"Adair Park, Atlanta, GA",33.72997000000004,-84.41043999999994,West End Dog Pack Park,33.7261391857718,-84.41300146195773,Dog Run
"Adair Park, Atlanta, GA",33.72997000000004,-84.41043999999994,Atlanta Beltline Westside Trail,33.72621234380516,-84.41365804605059,Trail
"Adair Park, Atlanta, GA",33.72997000000004,-84.41043999999994,Artlanta Art Gallery,33.73426624148351,-84.40843594783192,Art Gallery
"Adair Park, Atlanta, GA",33.72997000000004,-84.41043999999994,Health & Wellness Center,33.7265403301786,-84.40537961408106,Gym / Fitness Center
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Glitter's Fitness Club,33.73654248978737,-84.40220890072466,Gym / Fitness Center
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,"Tom, Dick & Hank",33.736978863320296,-84.39414384328047,Restaurant
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,656 Sports Bar Grille,33.73699173850786,-84.39440905043637,Restaurant
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Family Dollar,33.73681228499682,-84.39556852407077,Discount Store
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Turner Field - Green Lot,33.738715409944845,-84.38935441820833,Parking
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,787 Windsor,33.73417,-84.398841,Art Gallery
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Bullpen Rib House,33.734944,-84.390909,BBQ Joint
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Atlanta Fair,33.7364219842001,-84.3932184274071,Theme Park
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,FedEx Ship Center,33.743364,-84.39901,Shipping Store
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,BP,33.73658230942506,-84.3938010855694,Gas Station
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Rain Night Club,33.73670856161377,-84.40269031305978,Nightclub
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,BP,33.742139,-84.397755,Gas Station
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Cafe Jas,33.73672915977806,-84.39564035960835,Café
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,zumba with Glitter,33.73657962117978,-84.40231023005316,Gym
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Ralph David Abernathy Blvd Underpass,33.736772,-84.403759,Tunnel
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,Scouts Alley,33.73608961758263,-84.39049363453904,Baseball Field
"Mechanicsville, Atlanta, GA",33.73811000000006,-84.39764999999994,"Country Inn & Suites by Radisson, Atlanta Downtown South at Turner Field, GA",33.7338518,-84.3912423,Hotel
"Capitol Gateway, Atlanta, GA",33.745932957159,-84.38775479204867,Cupcake Lounge,33.74653091478467,-84.38798938222057,Cupcake Shop
"Capitol Gateway, Atlanta, GA",33.745932957159,-84.38775479204867,Capitol Ave & Memorial Dr,33.746891,-84.387724,Intersection
"Capitol Gateway, Atlanta, GA",33.745932957159,-84.38775479204867,I-20/I-75/I-85 Interchange,33.745004,-84.390064,Intersection
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park,33.73849130458109,-84.37256124999318,Park
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Ziba's Bistro,33.7391702912843,-84.3681050671951,Wine Bar
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,The Grant Park Farmers Market,33.73875295445132,-84.37354530060418,Farmers Market
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park Playground,33.737582220931394,-84.37188750961008,Playground
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Zoo Atlanta,33.73365342830435,-84.3718990740771,Zoo
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Garden*Hood Atlanta,33.74512413145578,-84.36832096814577,Flower Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Dakota Blue,33.74216637933706,-84.37344045905427,Burger Joint
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,House In The Park,33.73570032573972,-84.36997410185214,Music Venue
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Firepit Pizza Tavern,33.746152,-84.370818,Pizza Place
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Central Pizza & Pasta,33.74222730176126,-84.37345342321022,Pizza Place
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park Coffeehouse,33.73376056361184,-84.37382153912665,Coffee Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,"Scaly, Slimy, Spectacular",33.73262670776736,-84.36947437525305,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Kroger,33.741522571331565,-84.361142590415,Supermarket
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Six Feet Under Pub & Fish House,33.746555375992315,-84.37286919260443,Seafood Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Revelator Coffee + Little Tart Bakeshop,33.746074401913916,-84.37278614747136,Coffee Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Ria's Bluebird,33.746583624581845,-84.37352962650318,Breakfast Spot
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Gorilla Exhibit,33.732419916666665,-84.37058508396149,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Petit Chou,33.74680341074267,-84.36582426326582,Breakfast Spot
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Doc Chey's Noodle House,33.7465362832061,-84.36949613956263,Noodle House
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Giraffe Exhibit,33.733384171247174,-84.37041720720057,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Agave,33.74796812240394,-84.36802015846912,Mexican Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Oakland Cemetery,33.74776407953224,-84.37325421682411,Cemetery
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Flamingo Exhibit,33.7336483919266,-84.37170334188656,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Panda Exhibit,33.73103359126041,-84.3717894768165,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,My Friend's Growler Shop,33.73671700174415,-84.37924932302269,Beer Store
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,3 Parks Wine Shop,33.74116043321121,-84.35825436420652,Wine Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Gunshow,33.74067488669494,-84.35808918330585,Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Brother Moto,33.74697610137673,-84.36538428068161,Motorcycle Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Mezcalito's Cocina & Tequila Bar,33.74638055556564,-84.37447656413329,Mexican Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Tin Lizzy's Cantina,33.74658371379541,-84.37391608873847,Taco Place
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Snap Fitness,33.73985830581885,-84.35797283588903,Gym
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Chick-fil-A,33.7423381,-84.3585111,Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Dairies Coffeehouse & Cold Brew Bar,33.74596039055697,-84.36060599659011,Coffee Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Mediterranea Restaurant and Bakery,33.73155754425442,-84.37685274280726,Mediterranean Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Mix'D Up Truck Stop,33.745977475533635,-84.36818159327107,Burger Joint
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Mi Barrio Restaurante Mexicano,33.74650302362015,-84.36881219870004,Mexican Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,The Shed at Glenwood,33.74045655296187,-84.35816593988173,New American Restaurant
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Elephant Exhibit,33.732626046977174,-84.37149638054535,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Carroll Street Cafe,33.74894384196275,-84.36804663948855,Breakfast Spot
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Drip Coffee Shop,33.74060519273002,-84.35720357519642,Coffee Shop
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Farm Burger,33.7464701,-84.37843579999999,Burger Joint
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Oakland Cemetery Bell Tower,33.748693262488246,-84.37308778981624,Park
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Glenwood Park,33.742007662306385,-84.35806867781227,Plaza
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Vickery's,33.74043172110443,-84.35723518314492,Bar
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Lion Exhibit,33.73316226613581,-84.37078542760963,Zoo Exhibit
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Intown Healthy Hound,33.73028211320694,-84.37384554200672,Pet Store
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Full Commission,33.7461512984276,-84.370321118625,Gastropub
"Grant Park, Atlanta, GA",33.73920000000004,-84.36975999999999,Grant Park Market,33.74655355209415,-84.37074588088461,Market
